name,featured_artist,Track Genre,track_id,explicit,duration_in_days,artists,cover_url
Skyler,No Features,Pop,3ZMAHJ3O5wGASx1JHMCcvs,FALSE,2,Sơn Tùng M-Tp,
Encadenada a Ti,No Features,Pop,0hOqgHVGYXkhSTFiige0G2,FALSE,2,Malú,
Langit Abu-Abu,No Features,Pop,2FaquTc3FYvNm7RuO1gD6O,FALSE,2,Tulus,
Left Me Yet,No Features,Pop,6k2t5GhwOIKep31iyJ8S0L,FALSE,2,Daya,
Senza fare sul serio,No Features,Pop,1DihsSBztAD6qJ5TTEE90F,FALSE,2,Malika Ayane,
Rolo e Confusão,No Features,Pop,3ejERpcuCP4sSdEO2Krqqj,FALSE,2,Fernando & Sorocaba,
Animals - Radio Edit,No Features,Pop,5fHmnwcuWXBj2sHJZd4NGx,FALSE,2,Martin Garrix,
ily…,No Features,Pop,6amRvd3cJjQXJUnfjNboLU,FALSE,2,Hiraidai,
In the Morning Light - Radio Mix,No Features,Pop,3cSzDV1drneGszFc6KwwQS,FALSE,2,Alex Schulz,
A.M.,No Features,Pop,5omYVLodGmaxnhua99xIE8,FALSE,2,One Direction,
Marchand de sable Part. 4 (Du SAal),No Features,Pop,42QPEIMiFx1mXF0OMW0vVL,FALSE,2,Vegedream,
Janti,No Features,Pop,20NWw4dRWT67e82Jrj6x85,FALSE,2,Murat Boz,
Asioil ei oo tapana järjestyy,No Features,Pop,3TpsVj3EPBF5gHyMhZUJlg,FALSE,2,Ville Veikka,
Tęskno Mi,No Features,Pop,4GQ393HmZYv14Ol4N1keYf,FALSE,2,Sarsa,
Chosen,No Features,Pop,2lDgdWIGLYuk74pDeRPgPF,FALSE,2,Måneskin,
Te Amei Com Classe - Ao Vivo,No Features,Pop,6Tl1uGXGkbwsgMJM3uY3cu,FALSE,2,Matheus & Kauan,
Se Vuelve Loca - Spanglish Version,No Features,Pop,0cJhcRWXbgrGBBDSsm1fbv,FALSE,2,Cnco,
Älä Huku Kyyneliin,No Features,Pop,4PyiURbjiie9ituxmyZ1Bz,FALSE,2,Mikael Gabriel,
Meikaða,No Features,Pop,0iQKQ6We8WJg69HvITjLKm,FALSE,2,Hipsumhaps,
No Shame,No Features,Pop,5JSVa5i6lFPoyOzK4gj0Ox,FALSE,2,5 Seconds Of Summer,
UH UH,No Features,Pop,2MLqN9tiN3JE3z0MhBqOFl,FALSE,2,Toko,
Giants,No Features,Pop,43CHdbHYdcbUWP10UFKyZ7,FALSE,2,Dermot Kennedy,
完全無關的事,No Features,Pop,0KqKR7cBtUD6I38784Ul3u,FALSE,2,Zpecial,
Lover Of Mine,No Features,Pop,4CufDREo1dO9TL7txA5SGA,FALSE,2,5 Seconds Of Summer,
"Oh, vilken härlig da'",No Features,Pop,1Taqw1VEHl8Gy9qAZtRLAq,FALSE,2,Ted Gärdestad,
Wild Child,No Features,Pop,3FtVPxBNvwtRksGhN4oKQz,FALSE,2,Ace Wilder,
Julmusiken,No Features,Pop,2DrdtzLtzFMVNHXPXNySNN,FALSE,2,Theoz,
"Enten Går Det Bra, Ellers Går Det Over",No Features,Pop,0KgFMP70H5VR9aSBm44XdP,FALSE,2,Tix,
I CAN'T STOP ME,No Features,Pop,3apeXzypBMnUfYcZYNX6DH,FALSE,2,Twice,
נעים מאוד,No Features,Pop,25Q7MflwY76jaCyKyqEuUY,FALSE,2,Stephane Legar,
Tanssii kuin John Travolta - Vain elämää kausi 7,No Features,Pop,1fKFYEuzxhiaX0EzSP46Q8,FALSE,2,Kaija Koo,
Me da igual,No Features,Pop,7b86mQCIVKpdqGRHum0neh,FALSE,2,Los Totora,
Skinn í skinn,No Features,Pop,7coRGYRwk5QshFXCQfrt64,FALSE,2,Emmsjé Gauti,
One Flight Away,No Features,Pop,5dIGOJ7BpzNKCgkKR4rbr8,FALSE,2,Marcus & Martinus,
Fenomenalen,No Features,Pop,69zyifKelGUoEBEKfCX5ri,FALSE,2,Galena,
Çukur,No Features,Pop,3MzKwXSuc7OC52dIrfgf28,FALSE,2,Demet Akalın,
En jul med dig,No Features,Pop,0a3mI13wRQc8U2zVIC6Yvh,FALSE,2,Jobe,
Tantão assim - Ao vivo,No Features,Pop,3BQcRwHRHc2iZEmW0IxQZ5,FALSE,2,Day E Lara,
Não Planeje Nada,No Features,Pop,0FOe9rYciemlYvjQNpUHRL,FALSE,2,Marcos & Belutti,
Mraya,No Features,Pop,2dphuDR9m88drdAOIsX7aD,FALSE,2,Ouenza,
Minä Tarzan Sinä Jane,No Features,Pop,2KbK6NyeJCQgWtDOKIvFBg,FALSE,2,Petri Nygård,
No Sleeep,No Features,Pop,2FjjommEnvOoMOEz7qo6cQ,FALSE,2,Janet Jackson,
Kevät ja minä (Vain elämää kausi 13),No Features,Pop,2h3Qx2o2GZDiV9383McQ4h,FALSE,2,Pete Parkkonen,
"Kynnet, kynnet (Vain elämää kausi 12)",No Features,Pop,0wXy9Xy7i1mRQ4y2pzPjoZ,FALSE,2,Chisu,
Kokonaan Mun,No Features,Pop,7goUH0oJQ8iS0nVoQMRTuK,FALSE,2,Adi L Hasla,
Catch a Dream - Emi The Dream Catcher Theme Song,No Features,Pop,15wxfj9XidcS9NPj9HDXbb,FALSE,2,Khalil Fong,
En La Obscuridad,No Features,Pop,1BYfviBeZuGy7SCFg4mBt9,FALSE,2,Belinda,
Bikini sensual,No Features,Pop,7L8aTo5T9sNHjNfovlO5dE,FALSE,2,La Mano Rancia,
Do Teto Ao Chão - Ao Vivo,No Features,Pop,5bm2GTEiU87Z95jX03y2Qk,FALSE,2,Matheus & Kauan,
Date La Vuelta,No Features,Pop,62I25P84DTn6vC37C0vRFD,FALSE,2,Morat,
Foolish,No Features,Pop,5Qz6YczqxGqTtG2ZWX93hw,FALSE,2,Clara,
Ciao Ciao,No Features,Pop,52t3V5rNpAYL0JQnOYhNfb,FALSE,2,La Rappresentante Di Lista,
灰夠,No Features,Pop,5DZhpdN5UGpNwRkBsltNfp,FALSE,2,Stephanie Ho,
È venerdì,No Features,Pop,6xR7TEsvegqbQSE2iXgdy7,FALSE,2,Max Pezzali,
Stick Season,No Features,Pop,0GNVXNz7Jkicfk2mp5OyG5,FALSE,2,Noah Kahan,
Eins og ég,No Features,Pop,4A6tiojoWHNEHsHHuk94xJ,FALSE,2,Emmsjé Gauti,
לא יוצא למסיבות,No Features,Pop,2r6ssNnhNfT7dy9Bltctgt,FALSE,2,Mergui,
La Popi,No Features,Pop,2WlmR4N8xSxDG3Adz8Wd2k,FALSE,2,Kiko El Crazy,
Bye bye,No Features,Pop,7hRM2EHbeVZl4fPSK2XxOO,FALSE,2,Annalisa,
NEED YOU,No Features,Pop,082hvK2ljfwJAaUz4PtaTc,FALSE,2,Nickthereal,
Alla våra minnen,No Features,Pop,7kV2ZRMkpozWRusXJ8Lr2q,FALSE,2,Hov1,
Scrivile Scemo,No Features,Pop,71r3UlkV7sWvUYjas5paqi,FALSE,2,Pinguini Tattici Nucleari,
Red Flags,No Features,Pop,2r7BOWS3bEYjEUbLiH8kVM,FALSE,2,Mimi Webb,
Üzüm,No Features,Pop,7aCsOpspzuiDx4Wnut7HyJ,FALSE,2,Murat Boz,
Ludra,No Features,Pop,0BXckK5agFytY8H5h80RpJ,FALSE,2,Sima,
Boogieman Blues,No Features,Pop,4T13PBvN0KxWD0aQf0VpC4,FALSE,2,Owe Thörnqvist,
Когда исчезнет Слово,No Features,Pop,566QkMY1DsFd76WIorqNqG,FALSE,2,Мот,
River,No Features,Pop,2fSz6MBKMPjOApUhGYfPid,FALSE,2,Ochman,
Me Levante Dando Nota,No Features,Pop,5Dh2sCdh7El1aTbZzX5z6A,FALSE,2,Haraca Kiko,
由我們主宰,No Features,Pop,3nd61tWdMEfc1Nvi4Ndqme,FALSE,2,Mayday,
DDU-DU DDU-DU - KR Ver.,No Features,Pop,2CWnuF7ht55Ajyeg4WPvWu,FALSE,2,Blackpink,
I'm OK,No Features,Pop,0rHnkLIGf54WbwMW6cyVoP,FALSE,2,Taeyeon,
老伴,No Features,Pop,073r7olRqLTzir1h8MNhl0,FALSE,2,Ronghao Li,
téveszmék,No Features,Pop,5T7eEaieasnflXh6iPLlrK,FALSE,2,Azahriah,
Ajedrez,No Features,Pop,502C76In6ki3rUo47QP6pA,FALSE,2,David Bisbal,
Volevo te,No Features,Pop,2ukHFpXoXhZCObix33HKzH,FALSE,2,Giusy Ferreri,
Rise As One - MAX Solo,No Features,Pop,3iQtXVUFHOyex1x2gIcmgM,FALSE,2,Tvxq!,
Escalada pra Jogar,No Features,Pop,1m1vw2OQTYHt9AukcIPs8x,FALSE,2,Henrique & Diego,
Vilks,No Features,Pop,6QfvhiUqKZYAxpi2cYFnRg,FALSE,2,Dons,
Burn Down This Room,No Features,Pop,1l5qnNSizIyHHmiXySsJ1R,FALSE,2,Ruben,
MIROH,No Features,Pop,4WuKHgxdCJsaOBIh7yndty,FALSE,2,Stray Kids,
Donde,No Features,Pop,3BKsYn5TBpZ6BZHNgF5J6k,FALSE,2,Andi Bernadee,
Aspetto che torni,No Features,Pop,59yBT6IZ90C0ccyS4klAxi,FALSE,2,Francesco Renga,
TEST2255 VOL2,No Features,Pop,13wts7VYJus2NMw868GlSa,FALSE,2,Gabrielė Vilkickytė,
Prayer In C,No Features,Pop,4MteadAdoJXNnuBIa0Q1ZK,FALSE,2,Lilly Wood And The Prick,
Running Deep,No Features,Pop,6YmreCT9hZ30EBxG3PG9IJ,FALSE,2,Delara,
